tick	event	player	target
0	heartbeat	-	-
1	heartbeat	-	-
2	heartbeat	-	-
3	heartbeat	-	-
4	heartbeat	-	-
5	heartbeat	-	-
6	heartbeat	-	-
7	heartbeat	-	-
8	heartbeat	-	-
9	heartbeat	-	-
10	heartbeat	-	-
11	heartbeat	-	-
12	heartbeat	-	-
13	heartbeat	-	-
14	heartbeat	-	-
15	heartbeat	-	-
16	heartbeat	-	-
17	heartbeat	-	-
18	heartbeat	-	-
19	heartbeat	-	-
20	heartbeat	-	-
21	heartbeat	-	-
22	heartbeat	-	-
23	heartbeat	-	-
24	heartbeat	-	-
25	heartbeat	-	-
26	heartbeat	-	-
27	heartbeat	-	-
28	heartbeat	-	-
29	heartbeat	-	-
30	heartbeat	-	-
31	heartbeat	-	-
32	heartbeat	-	-
33	heartbeat	-	-
34	heartbeat	-	-
35	heartbeat	-	-
36	heartbeat	-	-
37	heartbeat	-	-
38	heartbeat	-	-
39	heartbeat	-	-
40	heartbeat	-	-
41	heartbeat	-	-
42	heartbeat	-	-
43	heartbeat	-	-
44	heartbeat	-	-
45	heartbeat	-	-
46	heartbeat	-	-
46	pass	player=2	target=(496.322,121.653)
47	heartbeat	-	-
47	pass	player=2	target=(500.322,121.577)
48	heartbeat	-	-
48	pass	player=2	target=(504.321,121.503)
49	heartbeat	-	-
49	pass	player=2	target=(508.320,121.438)
50	heartbeat	-	-
50	pass	player=2	target=(512.319,121.315)
51	heartbeat	-	-
51	pass	player=2	target=(516.316,121.172)
52	heartbeat	-	-
52	pass	player=2	target=(520.314,121.047)
53	heartbeat	-	-
53	pass	player=2	target=(524.312,120.908)
54	heartbeat	-	-
54	pass	player=2	target=(528.308,120.732)
55	heartbeat	-	-
55	pass	player=2	target=(532.305,120.593)
56	heartbeat	-	-
56	pass	player=2	target=(536.302,120.436)
57	heartbeat	-	-
57	pass	player=2	target=(540.299,120.266)
58	heartbeat	-	-
58	pass	player=2	target=(544.296,120.129)
59	heartbeat	-	-
59	pass	player=2	target=(548.320,478.572)
60	heartbeat	-	-
60	pass	player=2	target=(552.288,119.777)
61	heartbeat	-	-
61	pass	player=2	target=(556.285,119.616)
62	heartbeat	-	-
62	pass	player=2	target=(560.319,478.683)
63	heartbeat	-	-
63	pass	player=2	target=(564.277,119.281)
64	heartbeat	-	-
64	pass	player=2	target=(568.243,118.764)
65	heartbeat	-	-
65	pass	player=2	target=(572.236,118.519)
66	heartbeat	-	-
66	pass	player=2	target=(576.181,117.862)
67	heartbeat	-	-
67	pass	player=2	target=(579.956,116.540)
68	heartbeat	-	-
68	pass	player=2	target=(576.267,118.085)
69	heartbeat	-	-
69	pass	player=2	target=(573.478,116.165)
70	heartbeat	-	-
70	pass	player=2	target=(576.639,118.616)
71	heartbeat	-	-
71	pass	player=2	target=(573.567,116.054)
72	heartbeat	-	-
72	pass	player=2	target=(573.346,120.048)
73	heartbeat	-	-
73	pass	player=2	target=(572.727,116.096)
74	heartbeat	-	-
74	pass	player=2	target=(570.926,478.713)
75	heartbeat	-	-
75	pass	player=2	target=(572.504,476.895)
76	heartbeat	-	-
76	pass	player=2	target=(571.402,119.772)
77	heartbeat	-	-
77	pass	player=2	target=(569.891,116.068)
78	heartbeat	-	-
78	pass	player=2	target=(567.100,478.235)
79	heartbeat	-	-
79	pass	player=2	target=(570.289,475.820)
80	heartbeat	-	-
80	pass	player=2	target=(566.612,477.396)
81	heartbeat	-	-
81	pass	player=2	target=(566.322,477.856)
82	heartbeat	-	-
82	pass	player=2	target=(563.123,477.476)
83	heartbeat	-	-
83	pass	player=2	target=(567.073,478.109)
84	heartbeat	-	-
84	pass	player=2	target=(564.122,118.347)
85	heartbeat	-	-
85	pass	player=2	target=(564.449,114.360)
86	heartbeat	-	-
86	pass	player=2	target=(561.434,116.989)
87	heartbeat	-	-
87	pass	player=2	target=(563.368,115.204)
88	heartbeat	-	-
88	pass	player=2	target=(560.208,117.656)
89	heartbeat	-	-
89	pass	player=2	target=(562.595,114.470)
90	heartbeat	-	-
90	pass	player=2	target=(559.439,116.926)
91	heartbeat	-	-
91	pass	player=2	target=(561.325,113.399)
92	heartbeat	-	-
92	pass	player=2	target=(559.823,117.107)
93	heartbeat	-	-
93	pass	player=2	target=(560.554,113.174)
94	heartbeat	-	-
94	pass	player=2	target=(558.424,116.559)
95	heartbeat	-	-
95	pass	player=2	target=(560.650,113.236)
96	heartbeat	-	-
96	pass	player=2	target=(557.013,114.900)
97	heartbeat	-	-
97	pass	player=2	target=(559.929,116.825)
98	heartbeat	-	-
98	pass	player=2	target=(556.248,115.259)
99	heartbeat	-	-
99	pass	player=2	target=(556.787,115.152)
100	heartbeat	-	-
100	pass	player=2	target=(552.802,115.499)
101	heartbeat	-	-
101	pass	player=2	target=(555.233,113.148)
102	heartbeat	-	-
102	pass	player=2	target=(551.765,115.141)
103	heartbeat	-	-
103	pass	player=2	target=(547.845,114.964)
104	heartbeat	-	-
104	pass	player=2	target=(551.820,115.403)
105	heartbeat	-	-
105	pass	player=2	target=(547.969,114.325)
106	heartbeat	-	-
106	pass	player=2	target=(547.503,115.625)
107	heartbeat	-	-
107	pass	player=2	target=(544.504,112.978)
108	heartbeat	-	-
108	pass	player=2	target=(547.813,115.226)
109	heartbeat	-	-
109	pass	player=2	target=(543.958,114.157)
110	heartbeat	-	-
110	pass	player=2	target=(543.282,114.005)
111	heartbeat	-	-
111	pass	player=2	target=(541.140,112.402)
112	heartbeat	-	-
112	pass	player=2	target=(541.193,116.402)
113	heartbeat	-	-
113	pass	player=2	target=(539.961,112.596)
114	heartbeat	-	-
114	pass	player=2	target=(536.429,114.473)
115	heartbeat	-	-
115	pass	player=2	target=(538.536,111.073)
116	heartbeat	-	-
116	pass	player=2	target=(534.571,111.600)
117	heartbeat	-	-
117	pass	player=2	target=(533.971,109.787)
118	heartbeat	-	-
118	pass	player=2	target=(535.647,113.419)
119	heartbeat	-	-
119	pass	player=2	target=(533.359,110.138)
120	heartbeat	-	-
120	pass	player=2	target=(532.489,109.682)
121	heartbeat	-	-
121	pass	player=2	target=(530.162,107.844)
122	heartbeat	-	-
122	pass	player=2	target=(533.087,108.781)
123	heartbeat	-	-
123	pass	player=2	target=(529.300,107.494)
124	heartbeat	-	-
124	pass	player=2	target=(527.444,103.950)
125	heartbeat	-	-
125	pass	player=2	target=(529.323,107.482)
126	heartbeat	-	-
126	pass	player=2	target=(527.266,104.051)
127	heartbeat	-	-
128	heartbeat	-	-
128	pass	player=2	target=(522.124,107.877)
129	heartbeat	-	-
130	heartbeat	-	-
130	pass	player=2	target=(521.097,105.373)
131	heartbeat	-	-
131	pass	player=2	target=(524.434,103.166)
132	heartbeat	-	-
132	pass	player=2	target=(527.257,100.734)
133	heartbeat	-	-
134	heartbeat	-	-
134	pass	player=2	target=(519.314,101.540)
135	heartbeat	-	-
136	heartbeat	-	-
136	pass	player=2	target=(519.306,101.420)
137	heartbeat	-	-
138	heartbeat	-	-
138	pass	player=2	target=(519.102,100.178)
139	heartbeat	-	-
140	heartbeat	-	-
141	heartbeat	-	-
141	pass	player=2	target=(513.062,97.028)
142	heartbeat	-	-
142	pass	player=2	target=(517.045,97.395)
143	heartbeat	-	-
143	pass	player=2	target=(520.903,96.338)
144	heartbeat	-	-
144	pass	player=2	target=(516.970,95.612)
145	heartbeat	-	-
146	heartbeat	-	-
147	heartbeat	-	-
147	pass	player=2	target=(505.040,96.370)
148	heartbeat	-	-
148	pass	player=2	target=(508.886,95.273)
149	heartbeat	-	-
149	pass	player=2	target=(512.309,93.203)
150	heartbeat	-	-
150	pass	player=2	target=(508.313,93.013)
151	heartbeat	-	-
151	pass	player=2	target=(510.788,94.819)
152	heartbeat	-	-
152	pass	player=2	target=(507.384,92.718)
153	heartbeat	-	-
153	pass	player=2	target=(504.541,92.796)
154	heartbeat	-	-
154	pass	player=2	target=(506.603,90.990)
155	heartbeat	-	-
156	heartbeat	-	-
156	pass	player=2	target=(499.101,93.043)
157	heartbeat	-	-
157	pass	player=2	target=(502.864,91.687)
158	heartbeat	-	-
159	heartbeat	-	-
159	pass	player=2	target=(498.025,92.602)
160	heartbeat	-	-
161	heartbeat	-	-
161	pass	player=2	target=(497.642,91.175)
162	heartbeat	-	-
162	pass	player=2	target=(501.254,89.456)
163	heartbeat	-	-
163	pass	player=2	target=(497.613,87.800)
164	heartbeat	-	-
164	pass	player=2	target=(497.383,88.446)
165	heartbeat	-	-
166	heartbeat	-	-
166	pass	player=2	target=(490.484,85.957)
167	heartbeat	-	-
168	heartbeat	-	-
168	pass	player=2	target=(490.462,86.765)
169	heartbeat	-	-
170	heartbeat	-	-
170	pass	player=2	target=(490.499,87.082)
171	heartbeat	-	-
171	pass	player=2	target=(492.609,83.684)
172	heartbeat	-	-
172	pass	player=2	target=(488.701,84.537)
173	heartbeat	-	-
173	pass	player=2	target=(492.180,82.562)
174	heartbeat	-	-
174	pass	player=2	target=(488.225,81.963)
175	heartbeat	-	-
176	heartbeat	-	-
176	pass	player=2	target=(480.326,81.287)
177	heartbeat	-	-
177	pass	player=2	target=(484.223,80.385)
178	heartbeat	-	-
178	pass	player=2	target=(486.721,77.261)
179	heartbeat	-	-
179	pass	player=2	target=(483.610,79.776)
180	heartbeat	-	-
180	pass	player=2	target=(482.501,76.666)
181	heartbeat	-	-
181	pass	player=2	target=(481.093,80.316)
182	heartbeat	-	-
182	pass	player=2	target=(480.255,76.405)
183	heartbeat	-	-
183	pass	player=2	target=(477.592,73.420)
184	heartbeat	-	-
184	pass	player=2	target=(476.747,77.330)
185	heartbeat	-	-
185	pass	player=2	target=(475.403,73.562)
186	heartbeat	-	-
187	heartbeat	-	-
187	pass	player=2	target=(469.747,77.240)
188	heartbeat	-	-
189	heartbeat	-	-
189	pass	player=2	target=(468.751,74.696)
190	heartbeat	-	-
190	pass	player=2	target=(472.324,72.897)
191	heartbeat	-	-
191	pass	player=2	target=(469.119,70.504)
192	heartbeat	-	-
193	heartbeat	-	-
193	pass	player=2	target=(467.059,74.033)
194	heartbeat	-	-
195	heartbeat	-	-
195	pass	player=2	target=(465.757,71.279)
196	heartbeat	-	-
196	pass	player=2	target=(469.611,70.208)
197	heartbeat	-	-
197	pass	player=2	target=(466.069,68.350)
198	heartbeat	-	-
198	pass	player=2	target=(469.482,70.435)
199	heartbeat	-	-
200	heartbeat	-	-
200	pass	player=2	target=(462.075,68.499)
201	heartbeat	-	-
202	heartbeat	-	-
202	pass	player=2	target=(461.821,67.250)
203	heartbeat	-	-
203	pass	player=2	target=(464.670,64.442)
204	heartbeat	-	-
204	pass	player=2	target=(461.004,66.042)
205	heartbeat	-	-
205	pass	player=2	target=(462.470,66.937)
206	heartbeat	-	-
206	pass	player=2	target=(458.909,65.114)
207	heartbeat	-	-
207	pass	player=2	target=(457.096,64.748)
208	heartbeat	-	-
208	pass	player=2	target=(456.658,62.113)
209	heartbeat	-	-
209	pass	player=2	target=(453.690,64.795)
210	heartbeat	-	-
210	pass	player=2	target=(455.183,61.084)
211	heartbeat	-	-
211	pass	player=2	target=(452.975,64.420)
212	heartbeat	-	-
212	pass	player=2	target=(451.179,63.036)
213	heartbeat	-	-
213	pass	player=2	target=(448.527,65.921)
214	heartbeat	-	-
214	pass	player=2	target=(448.491,61.921)
215	heartbeat	-	-
215	pass	player=2	target=(446.767,65.530)
216	heartbeat	-	-
216	pass	player=2	target=(446.351,61.552)
217	heartbeat	-	-
217	pass	player=2	target=(442.522,62.712)
218	heartbeat	-	-
218	pass	player=2	target=(445.249,59.785)
219	heartbeat	-	-
219	pass	player=2	target=(442.007,62.128)
220	heartbeat	-	-
220	pass	player=2	target=(442.234,60.501)
221	heartbeat	-	-
221	pass	player=2	target=(439.240,63.154)
222	heartbeat	-	-
222	pass	player=2	target=(439.604,59.170)
223	heartbeat	-	-
223	pass	player=2	target=(436.437,61.614)
224	heartbeat	-	-
225	heartbeat	-	-
225	pass	player=2	target=(432.980,58.166)
226	heartbeat	-	-
227	heartbeat	-	-
227	pass	player=2	target=(432.243,60.906)
228	heartbeat	-	-
228	pass	player=2	target=(436.144,61.790)
229	heartbeat	-	-
229	pass	player=2	target=(432.258,60.840)
230	heartbeat	-	-
230	pass	player=2	target=(432.897,62.143)
231	heartbeat	-	-
231	pass	player=2	target=(429.542,59.965)
232	heartbeat	-	-
