tick	event	player	target
46	pass	player=2	target=(496.323,478.347)
47	pass	player=2	target=(500.322,478.423)
48	pass	player=2	target=(504.321,121.503)
49	pass	player=2	target=(508.320,478.572)
50	pass	player=2	target=(512.320,478.644)
51	pass	player=2	target=(516.320,121.342)
52	pass	player=2	target=(520.316,478.886)
53	pass	player=2	target=(524.316,478.948)
54	pass	player=2	target=(528.315,121.052)
55	pass	player=2	target=(532.315,120.971)
56	pass	player=2	target=(536.315,479.069)
57	pass	player=2	target=(540.312,120.777)
58	pass	player=2	target=(544.313,479.231)
59	pass	player=2	target=(548.312,479.328)
60	pass	player=2	target=(552.307,479.520)
61	pass	player=2	target=(556.306,479.593)
62	pass	player=2	target=(560.310,120.531)
63	pass	player=2	target=(564.303,479.820)
64	pass	player=2	target=(568.285,480.204)
65	pass	player=2	target=(572.264,480.610)
66	pass	player=2	target=(576.261,480.771)
67	pass	player=2	target=(578.501,484.016)
68	pass	player=2	target=(575.412,481.474)
69	pass	player=2	target=(572.424,480.167)
70	pass	player=2	target=(576.020,481.918)
71	pass	player=2	target=(572.197,481.125)
72	pass	player=2	target=(575.921,482.583)
73	pass	player=2	target=(572.425,480.640)
74	pass	player=2	target=(571.966,484.613)
75	pass	player=2	target=(570.472,120.481)
76	pass	player=2	target=(571.998,124.178)
77	pass	player=2	target=(569.935,481.323)
78	pass	player=2	target=(566.971,484.009)
79	pass	player=2	target=(569.598,480.992)
80	pass	player=2	target=(566.202,483.106)
81	pass	player=2	target=(567.346,120.518)
82	pass	player=2	target=(566.610,124.450)
83	pass	player=2	target=(565.847,120.523)
84	pass	player=2	target=(567.521,123.863)
85	pass	player=2	target=(563.856,480.437)
86	pass	player=2	target=(566.802,483.143)
87	pass	player=2	target=(563.468,120.425)
88	pass	player=2	target=(564.624,483.498)
89	pass	player=2	target=(562.345,121.212)
90	pass	player=2	target=(560.259,121.897)
91	pass	player=2	target=(563.761,119.965)
92	pass	player=2	target=(559.416,482.998)
93	pass	player=2	target=(560.204,123.249)
94	pass	player=2	target=(557.741,481.103)
95	pass	player=2	target=(560.669,483.828)
96	pass	player=2	target=(556.909,482.464)
97	pass	player=2	target=(558.437,123.508)
98	pass	player=2	target=(556.442,484.137)
99	pass	player=2	target=(555.052,480.386)
100	pass	player=2	target=(553.295,483.980)
101	pass	player=2	target=(550.336,121.647)
102	pass	player=2	target=(551.612,483.794)
103	pass	player=2	target=(550.364,479.994)
104	pass	player=2	target=(549.306,483.851)
105	pass	player=2	target=(547.674,480.199)
106	pass	player=2	target=(546.936,484.130)
107	pass	player=2	target=(545.811,480.292)
108	pass	player=2	target=(545.551,484.283)
109	pass	player=2	target=(542.189,482.115)
110	pass	player=2	target=(543.831,485.099)
111	pass	player=2	target=(541.708,481.708)
112	pass	player=2	target=(541.360,485.693)
113	pass	player=2	target=(538.444,482.955)
114	pass	player=2	target=(539.204,486.882)
115	pass	player=2	target=(536.039,484.436)
116	pass	player=2	target=(535.466,488.394)
117	pass	player=2	target=(533.771,484.771)
118	pass	player=2	target=(534.105,488.757)
119	pass	player=2	target=(530.862,486.415)
120	pass	player=2	target=(534.242,488.555)
121	pass	player=2	target=(530.246,488.377)
122	pass	player=2	target=(533.649,490.479)
123	pass	player=2	target=(529.897,489.095)
124	pass	player=2	target=(527.412,491.766)
125	pass	player=2	target=(530.873,489.759)
126	pass	player=2	target=(527.657,492.139)
127	pass	player=2	target=(523.797,493.188)
128	pass	player=2	target=(523.530,495.477)
129	pass	player=2	target=(520.938,492.431)
130	pass	player=2	target=(521.172,496.424)
131	pass	player=2	target=(518.872,493.151)
132	pass	player=2	target=(518.850,497.151)
134	pass	player=2	target=(512.294,494.613)
136	pass	player=2	target=(511.852,496.868)
139	pass	player=2	target=(506.373,501.114)
140	pass	player=2	target=(509.891,503.016)
141	pass	player=2	target=(510.264,506.999)
142	pass	player=2	target=(507.806,503.843)
143	pass	player=2	target=(507.745,506.935)
144	pass	player=2	target=(506.160,503.262)
145	pass	player=2	target=(504.375,506.842)
146	pass	player=2	target=(502.253,503.452)
147	pass	player=2	target=(503.548,507.236)
148	pass	player=2	target=(500.969,504.179)
149	pass	player=2	target=(499.733,507.983)
150	pass	player=2	target=(497.150,504.929)
151	pass	player=2	target=(499.317,506.344)
152	pass	player=2	target=(495.383,505.621)
153	pass	player=2	target=(492.161,507.991)
154	pass	player=2	target=(493.832,504.357)
155	pass	player=2	target=(490.099,505.796)
156	pass	player=2	target=(493.285,503.377)
157	pass	player=2	target=(489.805,505.348)
158	pass	player=2	target=(485.844,505.908)
159	pass	player=2	target=(488.408,508.086)
160	pass	player=2	target=(484.748,506.472)
161	pass	player=2	target=(481.310,504.426)
162	pass	player=2	target=(485.076,505.775)
163	pass	player=2	target=(481.516,503.952)
164	pass	player=2	target=(477.889,505.640)
165	pass	player=2	target=(481.142,504.500)
167	pass	player=2	target=(473.556,506.654)
170	pass	player=2	target=(469.541,506.873)
171	pass	player=2	target=(473.226,508.429)
172	pass	player=2	target=(469.251,148.601)
173	pass	player=2	target=(471.892,505.633)
174	pass	player=2	target=(468.761,508.122)
175	pass	player=2	target=(464.834,507.361)
176	pass	player=2	target=(468.075,509.705)
177	pass	player=2	target=(465.842,506.387)
178	pass	player=2	target=(462.073,505.047)
179	pass	player=2	target=(465.942,506.062)
180	pass	player=2	target=(462.095,504.966)
181	pass	player=2	target=(458.155,505.657)
182	pass	player=2	target=(461.422,503.350)
183	pass	player=2	target=(457.866,505.181)
184	pass	player=2	target=(456.349,501.949)
185	pass	player=2	target=(456.966,505.902)
186	pass	player=2	target=(455.464,502.194)
187	pass	player=2	target=(453.190,505.485)
188	pass	player=2	target=(454.608,501.745)
189	pass	player=2	target=(451.198,503.836)
190	pass	player=2	target=(452.303,499.991)
191	pass	player=2	target=(450.182,503.383)
192	pass	player=2	target=(448.210,499.903)
193	pass	player=2	target=(447.162,503.763)
194	pass	player=2	target=(445.612,500.076)
195	pass	player=2	target=(446.528,502.302)
196	pass	player=2	target=(443.309,499.926)
197	pass	player=2	target=(444.469,501.395)
198	pass	player=2	target=(441.153,499.159)
199	pass	player=2	target=(438.367,502.029)
200	pass	player=2	target=(439.736,498.270)
201	pass	player=2	target=(437.300,501.443)
202	pass	player=2	target=(436.245,497.584)
203	pass	player=2	target=(436.957,500.797)
204	pass	player=2	target=(434.257,497.845)
205	pass	player=2	target=(430.339,498.650)
206	pass	player=2	target=(434.173,497.511)
207	pass	player=2	target=(430.176,497.662)
208	pass	player=2	target=(431.463,495.971)
209	pass	player=2	target=(427.564,496.865)
210	pass	player=2	target=(431.029,494.866)
211	pass	player=2	target=(427.314,496.349)
212	pass	player=2	target=(424.008,494.097)
213	pass	player=2	target=(427.268,496.416)
214	pass	player=2	target=(423.450,495.221)
215	pass	player=2	target=(419.581,496.233)
216	pass	player=2	target=(422.685,498.023)
217	pass	player=2	target=(419.862,495.190)
218	pass	player=2	target=(416.564,492.926)
219	pass	player=2	target=(418.489,496.432)
220	pass	player=2	target=(414.962,494.545)
221	pass	player=2	target=(414.198,494.590)
222	pass	player=2	target=(410.922,496.886)
223	pass	player=2	target=(412.164,493.084)
224	pass	player=2	target=(408.375,494.367)
225	pass	player=2	target=(411.347,491.689)
226	pass	player=2	target=(407.509,492.818)
227	pass	player=2	target=(404.785,489.889)
228	pass	player=2	target=(406.932,493.264)
229	pass	player=2	target=(404.412,490.158)
230	pass	player=2	target=(402.909,493.865)
231	pass	player=2	target=(403.227,489.878)
232	pass	player=2	target=(399.941,492.158)
233	pass	player=2	target=(401.001,488.301)
234	pass	player=2	target=(398.222,491.178)
235	pass	player=2	target=(396.249,488.008)
236	pass	player=2	target=(396.473,492.001)
237	pass	player=2	target=(394.330,488.624)
238	pass	player=2	target=(393.619,492.560)
239	pass	player=2	target=(390.440,490.132)
240	pass	player=2	target=(391.809,493.890)
241	pass	player=2	target=(389.240,490.824)
242	pass	player=2	target=(387.100,493.130)
243	pass	player=2	target=(387.393,489.141)
244	pass	player=2	target=(384.257,491.624)
245	pass	player=2	target=(386.465,488.289)
246	pass	player=2	target=(383.747,491.224)
247	pass	player=2	target=(380.782,493.908)
249	pass	player=2	target=(375.344,492.436)
251	pass	player=2	target=(375.260,493.569)
252	pass	player=2	target=(378.518,495.889)
253	pass	player=2	target=(375.391,493.395)
254	pass	player=2	target=(371.695,491.864)
255	pass	player=2	target=(374.350,494.856)
256	pass	player=2	target=(370.619,493.414)
257	pass	player=2	target=(370.005,490.414)
258	pass	player=2	target=(368.528,494.132)
259	pass	player=2	target=(367.563,490.250)
260	pass	player=2	target=(365.118,493.415)
261	pass	player=2	target=(365.895,489.491)
262	pass	player=2	target=(362.528,491.652)
263	pass	player=2	target=(364.179,488.008)
264	pass	player=2	target=(361.679,491.131)
265	pass	player=2	target=(362.396,487.196)
266	pass	player=2	target=(359.142,489.521)
267	pass	player=2	target=(358.120,487.030)
268	pass	player=2	target=(356.793,490.803)
269	pass	player=2	target=(357.285,486.834)
270	pass	player=2	target=(353.748,488.702)
271	pass	player=2	target=(356.261,485.590)
272	pass	player=2	target=(352.970,487.863)
273	pass	player=2	target=(351.219,486.507)
274	pass	player=2	target=(349.173,489.943)
275	pass	player=2	target=(349.993,486.028)
276	pass	player=2	target=(346.894,488.557)
277	pass	player=2	target=(345.746,484.725)
278	pass	player=2	target=(345.086,488.671)
279	pass	player=2	target=(343.041,485.232)
280	pass	player=2	target=(342.097,489.119)
281	pass	player=2	target=(341.631,485.146)
282	pass	player=2	target=(338.191,485.212)
283	pass	player=2	target=(341.511,485.424)
284	pass	player=2	target=(337.557,484.815)
285	pass	player=2	target=(334.351,486.084)
286	pass	player=2	target=(336.288,482.584)
287	pass	player=2	target=(332.669,484.287)
288	pass	player=2	target=(332.684,480.287)
289	pass	player=2	target=(331.430,484.085)
290	pass	player=2	target=(329.090,481.871)
291	pass	player=2	target=(331.360,485.164)
292	pass	player=2	target=(328.859,482.043)
293	pass	player=2	target=(325.130,483.491)
294	pass	player=2	target=(328.575,481.459)
295	pass	player=2	target=(324.732,482.567)
296	pass	player=2	target=(322.461,480.764)
297	pass	player=2	target=(322.315,484.761)
298	pass	player=2	target=(321.634,480.820)
299	pass	player=2	target=(318.714,483.553)
300	pass	player=2	target=(319.330,479.601)
301	pass	player=2	target=(317.155,482.958)
302	pass	player=2	target=(317.615,478.984)
303	pass	player=2	target=(315.827,482.563)
304	pass	player=2	target=(312.402,480.496)
305	pass	player=2	target=(315.837,482.545)
306	pass	player=2	target=(312.175,480.937)
307	pass	player=2	target=(308.486,481.983)
308	pass	player=2	target=(312.231,480.577)
309	pass	player=2	target=(308.305,481.339)
310	pass	player=2	target=(307.719,478.960)
311	pass	player=2	target=(305.684,482.404)
312	pass	player=2	target=(306.416,478.471)
313	pass	player=2	target=(303.401,481.100)
314	pass	player=2	target=(300.904,478.781)
315	pass	player=2	target=(300.849,482.780)
316	pass	player=2	target=(300.019,478.867)
317	pass	player=2	target=(298.760,482.664)
318	pass	player=2	target=(297.970,478.743)
319	pass	player=2	target=(295.685,482.026)
320	pass	player=2	target=(295.572,478.028)
321	pass	player=2	target=(293.137,481.202)
322	pass	player=2	target=(290.495,478.620)
323	pass	player=2	target=(293.310,481.462)
324	pass	player=2	target=(290.564,478.553)
325	pass	player=2	target=(286.640,477.780)
326	pass	player=2	target=(290.578,478.482)
327	pass	player=2	target=(286.828,477.088)
328	pass	player=2	target=(284.537,477.933)
329	pass	player=2	target=(287.136,474.892)
330	pass	player=2	target=(283.750,477.023)
331	pass	player=2	target=(279.826,477.798)
332	pass	player=2	target=(283.052,475.433)
333	pass	player=2	target=(279.213,476.556)
334	pass	player=2	target=(277.366,473.028)
335	pass	player=2	target=(276.920,477.003)
336	pass	player=2	target=(276.026,473.104)
337	pass	player=2	target=(274.144,476.634)
338	pass	player=2	target=(272.063,473.218)
339	pass	player=2	target=(273.372,476.998)
340	pass	player=2	target=(270.888,473.862)
341	pass	player=2	target=(267.116,475.193)
342	pass	player=2	target=(270.640,473.301)
343	pass	player=2	target=(266.752,474.241)
344	pass	player=2	target=(266.986,471.684)
345	pass	player=2	target=(264.376,474.716)
346	pass	player=2	target=(265.751,470.960)
347	pass	player=2	target=(262.369,473.095)
348	pass	player=2	target=(258.503,472.115)
349	pass	player=2	target=(262.497,472.325)
350	pass	player=2	target=(258.498,472.423)
351	pass	player=2	target=(260.321,470.180)
352	pass	player=2	target=(256.863,472.190)
353	pass	player=2	target=(255.796,469.151)
354	pass	player=2	target=(254.819,473.030)
355	pass	player=2	target=(251.093,471.575)
356	pass	player=2	target=(254.856,470.219)
357	pass	player=2	target=(250.990,471.245)
358	pass	player=2	target=(247.502,469.287)
359	pass	player=2	target=(251.488,469.619)
360	pass	player=2	target=(247.490,469.475)
361	pass	player=2	target=(245.903,467.942)
362	pass	player=2	target=(247.346,470.442)
363	pass	player=2	target=(244.866,467.303)
364	pass	player=2	target=(244.570,469.329)
365	pass	player=2	target=(241.474,466.796)
366	pass	player=2	target=(244.470,469.447)
367	pass	player=2	target=(241.212,467.126)
368	pass	player=2	target=(239.423,465.639)
369	pass	player=2	target=(240.137,469.574)
370	pass	player=2	target=(237.564,466.511)
371	pass	player=2	target=(233.744,467.696)
372	pass	player=2	target=(235.842,469.476)
373	pass	player=2	target=(232.589,467.149)
374	pass	player=2	target=(232.545,463.785)
375	pass	player=2	target=(230.594,467.278)
376	pass	player=2	target=(229.055,463.586)
377	pass	player=2	target=(227.892,467.413)
378	pass	player=2	target=(226.943,463.527)
379	pass	player=2	target=(225.515,466.545)
380	pass	player=2	target=(225.009,462.577)
381	pass	player=2	target=(223.727,466.366)
382	pass	player=2	target=(222.724,462.494)
383	pass	player=2	target=(221.421,466.276)
384	pass	player=2	target=(221.275,462.278)
385	pass	player=2	target=(218.617,465.268)
386	pass	player=2	target=(220.580,461.783)
387	pass	player=2	target=(219.698,99.192)
388	pass	player=2	target=(220.136,102.931)
389	pass	player=2	target=(219.996,98.934)
390	pass	player=2	target=(220.388,94.953)
391	pass	player=2	target=(218.404,98.426)
392	pass	player=2	target=(219.916,94.723)
393	pass	player=2	target=(217.713,92.080)
394	pass	player=2	target=(221.446,93.518)
395	pass	player=2	target=(218.145,91.259)
396	pass	player=2	target=(222.043,90.362)
397	pass	player=2	target=(218.070,89.894)
398	pass	player=2	target=(220.761,86.935)
399	pass	player=2	target=(216.873,87.876)
400	pass	player=2	target=(219.516,84.873)
401	pass	player=2	target=(215.809,83.369)
402	pass	player=2	target=(219.537,81.919)
403	pass	player=2	target=(216.298,79.571)
404	pass	player=2	target=(218.049,75.975)
405	pass	player=2	target=(216.228,79.536)
406	pass	player=2	target=(216.186,75.536)
407	pass	player=2	target=(216.541,71.552)
408	pass	player=2	target=(216.298,73.538)
409	pass	player=2	target=(216.048,69.546)
410	pass	player=2	target=(215.518,67.060)
411	pass	player=2	target=(216.154,68.606)
412	pass	player=2	target=(214.977,64.783)
413	pass	player=2	target=(215.060,62.624)
414	pass	player=2	target=(211.322,62.365)
415	pass	player=2	target=(214.121,59.507)
416	pass	player=0	target=(454.554,464.303)
416	pass	player=0	target=(211.727,56.302)
419	pass	player=2	target=(201.495,59.925)
420	pass	player=2	target=(204.028,56.830)
421	pass	player=0	target=(601.001,251.135)
421	pass	player=0	target=(205.361,409.889)
422	pass	player=2	target=(204.672,57.058)
423	pass	player=0	target=(601.001,253.153)
423	pass	player=0	target=(205.528,413.840)
424	pass	player=0	target=(601.277,255.607)
424	pass	player=0	target=(205.528,413.840)
425	pass	player=2	target=(203.685,60.950)
426	pass	player=0	target=(601.001,258.160)
426	pass	player=0	target=(202.088,411.798)
427	pass	player=2	target=(202.680,60.979)
429	pass	player=0	target=(454.554,472.700)
429	pass	player=0	target=(196.720,408.933)
431	pass	player=0	target=(454.554,476.069)
431	pass	player=0	target=(192.906,410.137)
432	pass	player=0	target=(454.554,480.029)
432	pass	player=0	target=(192.906,410.137)
433	pass	player=0	target=(454.554,481.144)
433	pass	player=0	target=(192.906,410.137)
434	pass	player=0	target=(454.554,482.612)
434	pass	player=0	target=(192.906,410.137)
435	pass	player=0	target=(454.554,484.430)
435	pass	player=0	target=(192.906,410.137)
436	pass	player=0	target=(454.554,486.278)
436	pass	player=0	target=(192.906,410.137)
437	pass	player=0	target=(454.554,488.422)
437	pass	player=0	target=(192.906,410.137)
438	pass	player=0	target=(454.554,490.781)
438	pass	player=0	target=(192.906,410.137)
439	pass	player=0	target=(454.554,492.598)
439	pass	player=0	target=(192.906,410.137)
440	pass	player=0	target=(454.554,494.571)
440	pass	player=0	target=(192.906,410.137)
441	pass	player=0	target=(454.554,496.498)
441	pass	player=0	target=(192.906,410.137)
442	pass	player=0	target=(454.554,498.342)
442	pass	player=0	target=(192.906,410.137)
443	pass	player=0	target=(454.554,500.377)
443	pass	player=0	target=(192.906,410.137)
444	pass	player=0	target=(454.554,502.505)
444	pass	player=0	target=(192.906,410.137)
445	pass	player=0	target=(454.554,504.334)
445	pass	player=0	target=(192.906,410.137)
446	pass	player=0	target=(454.554,506.688)
446	pass	player=0	target=(192.906,410.137)
447	pass	player=0	target=(454.554,508.487)
447	pass	player=0	target=(192.906,410.137)
448	pass	player=0	target=(454.554,510.988)
448	pass	player=0	target=(192.906,410.137)
449	pass	player=0	target=(454.554,512.627)
449	pass	player=0	target=(192.906,410.137)
450	pass	player=0	target=(454.554,514.529)
450	pass	player=0	target=(192.906,410.137)
451	pass	player=0	target=(454.554,515.971)
451	pass	player=0	target=(192.906,410.137)
452	pass	player=0	target=(454.554,93.447)
452	pass	player=0	target=(192.906,410.137)
453	pass	player=0	target=(454.554,519.746)
453	pass	player=0	target=(192.906,410.137)
454	pass	player=0	target=(454.554,522.211)
454	pass	player=0	target=(192.906,410.137)
455	pass	player=0	target=(454.554,524.117)
455	pass	player=0	target=(192.906,410.137)
456	pass	player=0	target=(454.554,525.724)
456	pass	player=0	target=(192.906,410.137)
457	pass	player=0	target=(601.001,314.951)
457	pass	player=0	target=(192.906,410.137)
458	pass	player=0	target=(601.001,316.243)
458	pass	player=0	target=(192.906,410.137)
459	pass	player=0	target=(601.000,317.764)
459	pass	player=0	target=(192.906,410.137)
460	pass	player=0	target=(454.554,107.384)
460	pass	player=0	target=(192.906,410.137)
461	pass	player=0	target=(454.554,109.144)
461	pass	player=0	target=(192.906,410.137)
462	pass	player=0	target=(454.554,534.936)
462	pass	player=0	target=(192.906,410.137)
463	pass	player=0	target=(601.001,323.914)
463	pass	player=0	target=(192.906,410.137)
464	pass	player=0	target=(601.001,325.440)
464	pass	player=0	target=(192.906,410.137)
465	pass	player=0	target=(601.001,326.925)
465	pass	player=0	target=(108.148,292.667)
466	pass	player=0	target=(601.000,328.867)
466	pass	player=0	target=(192.906,410.137)
467	pass	player=0	target=(601.001,329.688)
467	pass	player=0	target=(108.265,296.414)
468	pass	player=0	target=(601.001,331.411)
468	pass	player=0	target=(108.909,297.531)
469	pass	player=0	target=(601.001,333.091)
469	pass	player=0	target=(109.085,299.471)
470	pass	player=0	target=(601.001,334.205)
470	pass	player=0	target=(108.827,301.389)
471	pass	player=0	target=(601.000,335.756)
471	pass	player=0	target=(108.618,302.765)
472	pass	player=0	target=(601.001,337.141)
472	pass	player=0	target=(108.930,304.740)
473	pass	player=0	target=(601.000,338.167)
473	pass	player=0	target=(108.401,306.409)
474	pass	player=0	target=(601.001,339.734)
474	pass	player=0	target=(108.586,307.669)
475	pass	player=0	target=(601.001,341.592)
475	pass	player=0	target=(109.403,308.741)
476	pass	player=0	target=(601.000,342.808)
476	pass	player=0	target=(109.016,309.923)
477	pass	player=0	target=(601.000,344.167)
477	pass	player=0	target=(109.566,311.807)
479	pass	player=2	target=(198.747,164.930)
480	pass	player=0	target=(601.000,344.917)
480	pass	player=0	target=(108.789,309.740)
481	pass	player=2	target=(200.986,164.872)
482	pass	player=0	target=(601.001,343.991)
